assettreat,asset_comp,isrstock,palstock,tradestock6all,age,faminc,religion,female,BA_or_higher,left_2013,left_2015,p_index_2013,p_index_2015
1,1,0,1,0,26,3000,jewish,0,0,0,0,10.38673759,8.304464817
1,1,0,0,1,58,12000,jewish,0,1,0,0,0.66681549,6.130972505
1,1,0,1,0,44,8000,jewish,1,1,0,0,-10.89941859,-7.766868472
1,1,1,0,0,43,24000,jewish,0,1,1,1,5.526776314,3.78965199
1,1,1,0,1,74,12000,jewish,1,0,0,1,12.73045063,10.8252573
0,0,0,0,1,36,16000,jewish,0,1,0,0,-1.653467715,-1.075512394
1,0,1,0,0,54,12000,jewish,1,1,0,0,2.799586654,-1.075512394
1,1,0,1,1,40,16000,jewish,0,1,0,0,8.148495555,-3.069532514
1,1,0,1,0,28,8000,jewish,1,0,0,0,-6.258852482,-5.425547957
1,1,1,0,0,40,8000,jewish,1,0,0,0,-8.579135537,-5.425547957
0,0,0,0,1,32,12000,jewish,1,1,0,1,8.06645453,NA
1,1,0,1,0,35,12000,jewish,0,0,0,0,-10.89941859,-10.10818958
1,0,0,1,0,35,8000,jewish,1,0,0,1,10.38673759,NA
1,1,0,0,1,72,24000,jewish,1,1,0,0,-10.89941859,-10.10818958
1,1,0,1,1,37,16000,jewish,0,1,0,0,15.05073428,8.834289312
1,1,1,0,0,36,12000,no religion,1,1,1,1,10.38673759,15.69042206
0,0,0,0,1,59,12000,jewish,1,0,0,0,0.886210129,6.130972505
